21201,Diseño de Software,45
21202,Diseño de Software,12
21203,Diseño de Software,12
21204,Diseño de Software,12
21205,Diseño de Software,12
21206,Diseño de Software,12
21207,Diseño de Software,12
21208,Diseño de Software,12
21209,Diseño de Software,12
21210,Diseño de Software,12
21211,Diseño de Software,12
21212,Diseño de Software,12
21213,Diseño de Software,12
21214,Diseño de Software,100
21215,Diseño de Software,1
21216,Diseño de Software,1
21217,Diseño de Software,1
21218,Diseño de Software,1
21219,Diseño de Software,1
21220,Diseño de Software,1
21221,Diseño de Software,1
21222,Diseño de Software,12
21223,Diseño de Software,1
21224,Diseño de Software,1
21225,Diseño de Software,12
21226,Diseño de Software,12
21227,Diseño de Software,12
21228,Diseño de Software,1
21229,Diseño de Software,1
21230,Diseño de Software,1
21231,Diseño de Software,12
21232,Diseño de Software,12
21233,Diseño de Software,12
21234,Diseño de Software,12
21235,Diseño de Software,12
